                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                  2.492,                 3.7367,                 2.7999,                0.60722,                 0.1574,                0.17398,                0.09768,                 1.9013,                 5.2774,                 2.6258,             0.00048174,             0.00048174,             0.00048174
                     88,                 2.4764,                 3.6586,                 2.9718,                0.60287,                 0.1473,                0.16554,                0.09595,                 1.8917,                 4.9965,                 2.6549,             0.00048122,             0.00048122,             0.00048122
                     89,                 2.4217,                  3.709,                   2.88,                0.60287,                 0.1473,                0.16554,                0.09595,                 1.8917,                 4.9965,                 2.6549,              0.0004807,              0.0004807,              0.0004807
                     90,                  2.453,                   3.72,                 2.9753,                0.58213,                0.17771,                0.12074,                0.07184,                 1.9529,                 5.2375,                  2.686,             0.00048017,             0.00048017,             0.00048017
                     91,                 2.4877,                 3.8459,                 2.9008,                0.58432,                0.18953,                0.11036,                0.05886,                 2.0081,                 5.6013,                 2.6675,             0.00047965,             0.00047965,             0.00047965
                     92,                 2.3658,                 3.7177,                 2.7896,                0.63835,                0.19492,                0.13133,                0.07528,                 1.9891,                  5.792,                 2.6131,             0.00047913,             0.00047913,             0.00047913
                     93,                 2.4254,                 3.6786,                 2.8546,                0.63835,                0.19492,                0.13133,                0.07528,                 1.9891,                  5.792,                 2.6131,             0.00047861,             0.00047861,             0.00047861
                     94,                 2.4597,                 3.6308,                 2.8591,                 0.7668,                0.14825,                0.19672,                0.10831,                 1.9101,                 5.9179,                 2.5351,             0.00047809,             0.00047809,             0.00047809
                     95,                 2.5029,                 3.8303,                 2.8681,                0.77876,                0.14825,                0.22534,                0.13007,                  1.867,                  5.223,                 2.5068,             0.00047757,             0.00047757,             0.00047757
                     96,                 2.4966,                 3.8271,                 2.9365,                0.51355,                0.23673,                 0.2372,                0.12511,                 1.8598,                 4.4732,                 2.5021,             0.00047705,             0.00047705,             0.00047705
                     97,                 2.5103,                 3.9179,                 3.0088,                0.51355,                0.23673,                 0.2372,                0.12511,                 1.8598,                 4.4732,                 2.5021,             0.00047653,             0.00047653,             0.00047653
                     98,                 2.4381,                 3.6639,                  2.907,                0.66543,                0.23308,                0.27261,                0.14148,                  1.858,                 4.1795,                 2.5034,             0.00047601,             0.00047601,             0.00047601
                     99,                 2.5102,                 3.7977,                 2.9849,                0.49943,                 0.2637,                0.29073,                0.15444,                 1.8631,                 4.0073,                 2.5238,             0.00047549,             0.00047549,             0.00047549
                    100,                 2.3646,                  3.552,                 2.8054,                0.66474,                0.19293,                0.27844,                 0.1503,                 1.8901,                 3.8973,                 2.5663,             0.00047497,             0.00047497,             0.00047497
                    101,                 2.5397,                 3.7843,                 2.8639,                0.66474,                0.19293,                0.27844,                 0.1503,                 1.8901,                 3.8973,                 2.5663,             0.00047445,             0.00047445,             0.00047445
                    102,                 2.3526,                 3.5668,                  2.854,                0.76214,                0.17481,                0.25904,                0.12767,                 1.9745,                 3.9724,                 2.6443,             0.00047393,             0.00047393,             0.00047393
                    103,                 2.5676,                 3.5274,                 2.9136,                0.76462,                0.12275,                0.23858,                0.11152,                 2.1191,                 4.1415,                 2.7615,             0.00047341,             0.00047341,             0.00047341
